,index,country,year,co2,population,gdp,primary_energy_consumption,Coal Production - TWh,Oil Consumption - TWh,Coal Consumption - TWh,Cars Produced - Thousands
0,52,China,1951,102.115,569909108.0,529606000000.0,0.0,0.0,0.0,0.0,0
1,53,China,1952,127.999,582576497.0,595648770000.0,0.0,0.0,0.0,0.0,0
2,54,China,1953,133.783,593365882.0,672668230000.0,0.0,0.0,0.0,0.0,0
3,55,China,1954,160.877,603052316.0,624480190000.0,0.0,0.0,0.0,0.0,0
4,56,China,1955,190.521,612241552.0,681084945000.0,0.0,0.0,0.0,0.0,0
5,57,China,1956,215.824,621363233.0,738921885000.0,0.0,0.0,0.0,0.0,0
6,58,China,1957,255.785,630677648.0,761702560000.0,0.0,0.0,0.0,0.0,0
7,59,China,1958,524.617,640295777.0,766244655000.0,0.0,0.0,0.0,0.0,0
8,60,China,1959,720.152,650212731.0,743927585000.0,0.0,0.0,0.0,0.0,0
9,61,China,1960,798.8,660408054.0,705092990000.0,0.0,0.0,0.0,0.0,0
10,62,China,1961,570.63,670952701.0,577128420000.0,0.0,0.0,0.0,0.0,U
11,63,China,1962,459.618,682102654.0,616503020000.0,0.0,0.0,0.0,0.0,0
12,64,China,1963,456.779,694339084.0,705534390000.0,0.0,0.0,0.0,0.0,0
13,65,China,1964,460.637,708254602.0,804504960000.0,0.0,0.0,0.0,0.0,0
14,66,China,1965,500.286,724218970.0,896126805000.0,1532.235,0.0,129.0625363888889,0.0,0
15,67,China,1966,549.459,742414887.0,927339400000.0,1665.28,0.0,165.79991083333334,0.0,0
16,68,China,1967,460.226,762581176.0,933378350000.0,1497.596,0.0,163.69284527777776,0.0,0
17,69,China,1968,495.507,784074715.0,912372780000.0,1512.598,0.0,179.0345755555555,0.0,0
18,70,China,1969,607.683,805985941.0,1006175600000.0,1841.019,0.0,240.04433027777776,0.0,0
19,71,China,1970,807.953,827601385.0,1144004370000.0,2357.393,0.0,332.04554833333333,0.0,0
20,72,China,1971,909.21,848759709.0,1216237830000.0,2794.916,0.0,451.5776813888889,0.0,U
21,73,China,1972,968.646,869485962.0,1233564930000.0,3012.934,0.0,519.6964991666666,0.0,0
22,74,China,1973,1008.293,889485368.0,1334375220000.0,3180.296,0.0,633.9830905555556,0.0,0
23,75,China,1974,1028.1,908464206.0,1367631650000.0,3279.296,0.0,729.0730180555555,0.0,0
24,76,China,1975,1183.215,926240889.0,1460733630000.0,3672.629,0.0,804.0782297222222,0.0,0
25,77,China,1976,1226.421,942685412.0,1413710515000.0,3866.91,0.0,919.1863952777776,0.0,0
26,78,China,1977,1340.831,957891271.0,1493489265000.0,4216.888,0.0,971.0417141666668,0.0,0
27,79,China,1978,1492.778,972205441.0,1667551760000.0,4624.29,0.0,1076.6368777777775,3.570363922222222,0
28,80,China,1979,1525.661,986132214.0,1801380295000.0,4763.128,0.0,1079.2995222222223,3.6587183,0
29,81,China,1980,1494.496,1000089228.0,1893783550000.0,4856.292,0.0,1011.721054722222,3.636857716666667,0
